TIME,ROP5,TV07,HY_RT,SRV_HX,TV08,SRV_GZ,GRID_CORR,DBTV,TTV1,TV12,SDEP_CONT_RT,TV06,GTF_RT,BPOS,SRVAZI,GRM1,MBOT,TV10,CUREDT_RT,TV05,SRVEW,TV03,MDOA,GZ_RT,HKLD,TDH,TV04,SRV_GX,RHX_RT,GRR,BOUNCE_RT,MTOA,DRTM,PASS_NAME,DMEA,SRV_HY,SHKRSK_RT,SPM2,INCL_CONT_RT,TV02,TRPM_RT,CPPA,FVOC,SPPA,MAG_DEC,TFLO,TEMP_DNI_RT,DRILLTM_RT,SHK3TM_RT,TTV2,TV11,SHKRATE_RT,MFOP,TV14,DNI_MP,CFIA,RGX_RT,TOTAL_CORR,SRVTYPE,TQA,AJAM_MWD,RSDX,HOURS_DM_RT,SWOB,SPM1,MWTI,TVCA,RSUX,SRVTVD,SHKPK_RT,BTVD,SRVNS,DBTM,GASA,CHKP,SRV_HZ,SRV_GY,DNISTAT,ROP,SPM3,DVER,GY_RT,TV13,BITRUN,ACTC,TVT,RPM,AZIM_CONT_RT,WHIRL_RT,TVA,TF_CORR,TVDE,SRVDEPTH,MTF_RT,SRVINC,SHKTOT_RT,HZ_RT,TV09,TV01
2007-12-01T07:25:56.986Z,,0.019999966893984,,,9.34000012024632,,,,6.19000008786281,0.299999980371672,,1.10000008701677,,15.8800001424,,,,5.40999978912439,,68.1800003405519,,70.639999448258,1.01999999679079,,63.2835894984162,15.3700000000001,78.0100021934977,,,,,4.06000000000009,0,,144.000000036,,,0,,75.0999984251086,,-39.0000015756026,0.019999966893984,127.999997038931,,0,,,,0.009999983446992,0.309999963818664,,0,0.009999983446992,,0,,,,0,,0,,0,0,1.02999999088548,0.019999966893984,0,,,,,1.720000116,0,33.9999994289272,,,,14.3000001528,0,144.000000036,,10.2299996009524,,9,418.970001253142,0,,,163.009994565303,,,,,,,,15.5699996649352,78.5800018859255
2007-12-01T07:26:01.997Z,,0.019999966893984,,,9.34000012024632,,,,6.19000008786281,0.299999980371672,,1.10000008701677,,15.3400000032,,,,5.40999978912439,,68.1800003405519,,70.639999448258,1.01999999679079,,63.8954175666907,15.3700000000001,78.0199966123891,,,,,4.06000000000009,0,,144.000000036,,,0,,75.0999984251086,,-39.0000015756026,0.019999966893984,126.000000317115,,0,,,,0.009999983446992,0.309999963818664,,0,0.009999983446992,,0,,,,0,,0,,0,0,1.02999999088548,0.019999966893984,0,,,,,1.720000116,0,23.000000222047,,,,14.3000001528,0,144.000000036,,10.2299996009524,,9,418.989990249912,0,,,163.009994565303,,,,,,,,15.5699996649352,78.5800018859255
2007-12-01T07:26:05.971Z,,0.019999966893984,,,9.34000012024632,,,,6.19000008786281,0.299999980371672,,1.10000008701677,,15.2600003664,,,,5.40999978912439,,68.1800003405519,,70.639999448258,1.01999999679079,,61.713225497934,15.3700000000001,78.0199966123891,,,,,4.0700000000001,0,,144.000000036,,,0,,75.0999984251086,,-35.0000012372137,0.019999966893984,124.000003595299,,0,,,,0.009999983446992,0.309999963818664,,0,0.009999983446992,,0,,,,0,,0,,0,0,1.02999999088548,0.019999966893984,0,,,,,1.720000116,0,17.0000031618422,,,,14.3000001528,0,144.000000036,,10.2299996009524,,9,418.989990249912,0,,,163.009994565303,,,,,,,,15.5699996649352,78.5800018859255
2007-12-01T07:26:10.982Z,,0.019999966893984,,,9.34000012024632,,,,6.19000008786281,0.299999980371672,,1.10000008701677,,15.0200005416,,,,5.40999978912439,,68.1800003405519,,70.639999448258,1.01999999679079,,62.712547095275,15.3700000000001,78.0199966123891,,,,,4.06000000000009,0,,144.000000036,,,0,,75.0899963748267,,-40.0000033838892,0.019999966893984,107.000007328214,,0,,,,0.009999983446992,0.309999963818664,,0,0.009999983446992,,0,,,,0,,0,,0,0,1.02999999088548,0.019999966893984,0,,,,,1.720000116,0,10.9999992068802,,,,14.3000001528,0,144.000000036,,10.2399997433867,,9,418.989990249912,0,,,163.009994565303,,,,,,,,15.5699996649352,78.5800018859255
2007-12-01T07:26:15.043Z,,0.019999966893984,,,9.34000012024632,,,,6.19000008786281,0.299999980371672,,1.10000008701677,,15.0200005416,,,,5.40999978912439,,68.1800003405519,,70.639999448258,1.01999999679079,,62.7941261366119,15.3700000000001,78.0199966123891,,,,,4.06000000000009,0,,144.000000036,,,0,,75.0899963748267,,-40.0000033838892,0.009999983446992,120.00000325691,,0,,,,0.009999983446992,0.309999963818664,,0,0.009999983446992,,0,,,,0,,0,,0,0,1.02999999088548,0.009999983446992,0,,,,,1.720000116,0,39.0000015756026,,,,14.3000001528,0,144.000000036,,10.2399997433867,,9,418.989990249912,0,,,163.009994565303,,,,,,,,15.5699996649352,78.5800018859255
2007-12-01T07:26:19.968Z,,0.019999966893984,,,9.34000012024632,,,,6.19000008786281,0.299999980371672,,1.10000008701677,,15.0200005416,,,,5.40999978912439,,68.1800003405519,,70.639999448258,1.01999999679079,,62.712547095275,15.3700000000001,78.0199966123891,,,,,4.06000000000009,0,,144.000000036,,,0,,75.0899963748267,,-40.9999982974184,0.009999983446992,126.999995230644,,0,,,,0.009999983446992,0.309999963818664,,0,0.009999983446992,,0,,,,0,,0,,0,0,1.02999999088548,0.009999983446992,0,,,,,1.720000116,0,28.0000023687224,,,,14.3000001528,0,144.000000036,,10.2399997433867,,9,418.999999931585,0,,,163.009994565303,,,,,,,,15.5699996649352,78.5800018859255
2007-12-01T07:26:24.029Z,,0.019999966893984,,,9.34000012024632,,,,6.19000008786281,0.299999980371672,,1.10000008701677,,15.0200005416,,,,5.40999978912439,,68.1800003405519,,70.639999448258,1.01999999679079,,62.9674759862471,15.3700000000001,78.0199966123891,,,,,4.06000000000009,0,,144.000000036,,,0,,75.0899963748267,,-37.9999997673161,0.019999966893984,119.000008343381,,0,,,,0.009999983446992,0.309999963818664,,0,0.009999983446992,,0,,,,0,,0,,0,0,1.02999999088548,0.019999966893984,0,,,,,1.720000116,0,50.9999956960121,,,,14.3000001528,0,144.000000036,,10.2399997433867,,9,418.989990249912,0,,,163.009994565303,,,,,,,,15.5699996649352,78.5800018859255
2007-12-01T07:26:29.040Z,,0.009999983446992,,,9.34000012024632,,,,6.19000008786281,0.299999980371672,,1.10000008701677,,15.0200005416,,,,5.40999978912439,,68.1800003405519,,70.639999448258,1.01999999679079,,62.6615619521099,15.3700000000001,78.0299988216583,,,,,4.06000000000009,0,,144.000000036,,,0,,75.0899963748267,,-43.0000019139915,0.009999983446992,135.000002802179,,0,,,,0.009999983446992,0.309999963818664,,0,0.009999983446992,,0,,,,0,,0,,0,0,1.02999999088548,0.009999983446992,0,,,,,1.720000116,0,47.0000022523805,,,,14.3000001528,0,144.000000036,,10.2399997433867,,9,418.989990249912,0,,,163.009994565303,,,,,,,,15.5699996649352,78.5800018859255
2007-12-01T07:26:33.014Z,,0.019999966893984,,,9.34000012024632,,,,6.19000008786281,0.299999980371672,,1.10000008701677,,15.0200005416,,,,5.40999978912439,,68.1800003405519,,70.639999448258,1.01999999679079,,62.6921522215427,15.3700000000001,78.0199966123891,,,,,4.06000000000009,0,,144.000000036,,,0,,75.0899963748267,,-40.9999982974184,0.019999966893984,111.000000771846,,0,,,,0.009999983446992,0.309999963818664,,0,0.009999983446992,,0,,,,0,,0,,0,0,1.02999999088548,0.019999966893984,0,,,,,1.720000116,0,20.9999966054739,,,,14.3000001528,0,144.000000036,,10.2399997433867,,9,418.989990249912,0,,,163.009994565303,,,,,,,,15.5699996649352,78.5800018859255
2007-12-01T07:26:38.026Z,,0.019999966893984,,,9.34000012024632,,,,6.19000008786281,0.299999980371672,,1.10000008701677,,15.0200005416,,,,5.40999978912439,,68.1800003405519,,70.639999448258,1.01999999679079,,62.9266866923749,15.3700000000001,78.0199966123891,,,,,4.06000000000009,0,,144.000000036,,,0,,75.0999984251086,,-39.0000015756026,0.019999966893984,100.999996478495,,0,,,,0.009999983446992,0.309999963818664,,0,0.009999983446992,,0,,,,0,,0,,0,0,1.02999999088548,0.019999966893984,0,,,,,1.720000116,0,43.0000019139915,,,,14.3000001528,0,144.000000036,,10.2399997433867,,9,418.999999931585,0,,,163.009994565303,,,,,,,,15.5699996649352,78.5800018859255
