well_id,source_well_id,api_number,well_name,operator,field,latitude,longitude,total_depth,tvd,spud_date,source
f8d85aee-3382-4c92-930d-2cc2aa79c076,1.77E+11,1.77E+11, A009,Talos Petroleum LLC,WC 56,29.64983628,-93.59336565,9544,9544,12/30/1956,BSEE
43f7d3db-a45b-410e-95b2-3b799c1c7e06,1.77E+11,1.77E+11,1,Talos Petroleum LLC,WC 56,29.64713566,-93.60955524,9660,9660,4/16/1957,BSEE
7285912b-a1d5-4e89-8d44-b1bd1d66a52d,1.77E+11,1.77E+11,1,Magnolia Petroleum Company,WC 55,29.63879138,-93.62277768,9708,9708,06-05-1957,BSEE
24e429f3-0ad5-42fd-8c1f-e416dcdc4c67,1.77E+11,1.77E+11, A001,Magnolia Petroleum Company,WC 55,29.64657064,-93.62714648,11140,10343,10/26/1956,BSEE
2859596a-47a3-40a8-b98f-5c0c8cf5e6e0,1.77E+11,1.77E+11,1,Chevron U.S.A. Inc.,WC 48,29.6704465,-93.73800283,13000,13000,10-08-1963,BSEE
d8234fbf-bdc9-4a54-9234-bec4e93e3b60,1.77E+11,1.77E+11,1,Chevron U.S.A. Inc.,WC 17,29.69451244,-93.73057995,12500,12500,08-04-1973,BSEE
d1865414-7289-4e17-b4ae-ce6915f4df0d,1.77E+11,1.77E+11,2,Chevron U.S.A. Inc.,WC 17,29.71198535,-93.73143964,13269,13269,09-07-1963,BSEE
f9123797-6709-46cd-ac07-2eba90e72cf2,1.77E+11,1.77E+11, A002,Chevron U.S.A. Inc.,WC 17,29.70427435,-93.75157586,14159,13814,03-12-1958,BSEE
04ac6100-85e7-433e-a5f0-2307c3e63959,1.77E+11,1.77E+11, A002,Chevron U.S.A. Inc.,WC 17,29.70427435,-93.75157586,8821,8602,10/25/1957,BSEE
dc309aba-c1c0-4aa8-b7e3-e8be2486c6ed,1.77E+11,1.77E+11, A002,Chevron U.S.A. Inc.,WC 17,29.70427435,-93.75157586,12823,12515,12/15/1957,BSEE
5c953deb-44e6-4349-a904-ed2896272f67,1.77E+11,1.77E+11,2,Fieldwood Energy LLC,WC 144,29.44170138,-93.16191848,9500,9500,05-08-1970,BSEE
ebfe2370-04fc-4e83-8b22-d7642583c513,1.77E+11,1.77E+11,2,McMoRan Oil & Gas LLC,WC 118,29.50384748,-93.63881816,14000,14000,10/19/1960,BSEE
8d6e078e-cfcb-4efc-8125-7eca8f4aee40,1.77E+11,1.77E+11,3,McMoRan Oil & Gas LLC,WC 118,29.5139098,-93.64315647,15880,15603,2/17/1961,BSEE
3c61c95b-c211-4afa-bb10-3cb28ac7be97,1.77E+11,1.77E+11,1,BP Alaska Exploration Inc.,WC 117,29.49983595,-93.61564547,9885,9885,5/14/1961,BSEE
54fb5ab7-21a0-4eef-8583-bbab85fa8619,1.77E+11,1.77E+11,1,BP Alaska Exploration Inc.,WC 92,29.53757769,-93.59480003,9872,9872,7/18/1963,BSEE
2f211265-e329-4f04-a968-fa88ebd986b2,1.77E+11,1.77E+11, A001,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,WC 33,29.67075208,-93.02138088,16116,16116,10/27/1957,BSEE
eb942ce9-3275-4098-876a-02fd875f65b4,1.77E+11,1.77E+11, A001,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,WC 33,29.67075208,-93.02138088,13128,13128,6/16/1957,BSEE
0e3f6a28-ecc0-4d11-9dcc-c63f5517d2a9,1.77E+11,1.77E+11, A001,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,WC 33,29.67075208,-93.02138088,14720,14720,8/28/1957,BSEE
29503036-25cb-47cf-8c86-1c7150868e97,1.77E+11,1.77E+11, B001,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,WC 33,29.67056549,-93.02922548,14654,14654,12/17/1957,BSEE
25bb10a5-430f-4515-998b-6431cf09cde6,1.77E+11,1.77E+11, C001,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,WC 33,29.66276344,-93.02853277,16000,16000,10-09-1959,BSEE
e50f13a5-58a3-4957-a8be-7926654149bd,1.77E+11,1.77E+11, D001,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,WC 33,29.66411791,-93.05105492,14010,14010,08-12-1962,BSEE
6be53156-5369-43ee-a61c-d98d6adb7df2,1.77E+11,1.77E+11, E001,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,WC 33,29.66584722,-93.03972293,15498,15498,1/22/1963,BSEE
dfcada05-79f3-4fa0-9924-eb1a56c2b7e7,1.77E+11,1.77E+11, A001,BP America Production Company,WC 68,29.62643463,-93.03469455,16106,16106,9/20/1958,BSEE
a0066348-a76e-41a7-93f3-1574bf8758a6,1.77E+11,1.77E+11, A001,Fieldwood Energy LLC,WC 68,29.62643463,-93.03469455,12860,12420,2/26/2001,BSEE
477d773b-646b-45f4-942e-78980e073fd8,1.77E+11,1.77E+11, A002,Fieldwood Energy LLC,WC 68,29.62645925,-93.03470456,13496,13053,08-01-1959,BSEE
